Accession,FBgn
Q59DT1,FBgn0032957
Q9VA54,FBgn0039788
Q9VZ73,FBgn0035584
A1Z9J4,FBgn0033885
A1Z7H3,FBgn0263120
Q9VLJ7,FBgn0032055
Q7K084,FBgn0033268
Q86BA8,FBgn0053189
Q9VVA4,FBgn0036663
Q9U1L2,FBgn0040349
M9NEZ5,FBgn0264975
O16797,FBgn0020910
Q9W233,FBgn0053143
B5RJQ0,FBgn0001258
E1JIZ5,FBgn0029155
A4V0N4,FBgn0263598
Q9W099,FBgn0035262
Q9V597,FBgn0285949
Q8INU9,FBgn0051680
Q8INB6,FBgn0250823
A1ZBX0,FBgn0034532
Q9VAN7,FBgn0014869
C8VV14,FBgn0000064
A0A0B4LF54,FBgn0015714
Q7KB18,FBgn0034405
Q7KGG1,FBgn0033952
Q9VA91,FBgn0039757
P29844,FBgn0001218
Q9VA47,FBgn0039796
M9PIM0,FBgn0024733
Q9I7S8,FBgn0020513
M9PG65,FBgn0261059
Q7JY07,FBgn0034173
A0A0B4KHU1,FBgn0026056
Q9VWI0,FBgn0031021
Q8IR19,FBgn0052576
Q9V771,FBgn0033978
Q9VXZ8,FBgn0027601
Q9W1N3,FBgn0034877
Q9VVW8,FBgn0036848
Q9VGT0,FBgn0026314
Q7K4T8,FBgn0033734
Q9VQ04,FBgn0031335
Q9VPR3,FBgn0031265
Q9NFT9,FBgn0042711
Q9W2J5,FBgn0265180
Q9VSR8,FBgn0035943
Q9W0F7,FBgn0035216
P25007,FBgn0004432
A8JV22,FBgn0030038
Q9VQC0,FBgn0031424
X2J4W8,FBgn0266449
Q9VQ01,FBgn0031332
Q9VGA0,FBgn0038020
Q9VGZ3,FBgn0024957
Q95RF6,FBgn0036928
Q4V6L1,FBgn0250846
Q9W3X7,FBgn0029888
Q9VDW5,FBgn0038709
Q4V516,FBgn0083946
A1ZAH8,FBgn0034138
Q7K2U8,FBgn0028560
Q9VPV7,FBgn0031296
Q0E8T7,FBgn0083960
Q7KSW3,FBgn0051472
Q9VE02,FBgn0038679
Q9VGF7,FBgn0260743
Q4QPY7,FBgn0050093
Q8T3W3,FBgn0037483
Q9VW82,FBgn0036941
A0A0B4LID7,FBgn0038745
Q8IQP3,FBgn0052163
X2JC31,FBgn0000319
Q9V3A8,FBgn0035909
P05623,FBgn0003034
