Accession,FBgn
B7Z0T3,FBgn0013576
Q9VXI1,FBgn0286508
Q24592,FBgn0004864
Q9V6K3,FBgn0020391
Q9VG33,FBgn0038080
P08182,FBgn0000259
P35875,FBgn0010247
A8DZ27,FBgn0053481
P29327,FBgn0261592
Q9VLM8,FBgn0027094
Q9W3X6,FBgn0286222
Q9Y162,FBgn0283469
P39205,FBgn0000316
Q9NFR8,FBgn0040087
Q7K5K3,FBgn0039635
P54362,FBgn0001087
Q86R94,FBgn0034791
Q27268,FBgn0014189
Q9V3G7,FBgn0028688
Q59DZ7,FBgn0053531
P91929,FBgn0019957
Q86B44,FBgn0030882
Q86B44,FBgn0052495
B7Z098,FBgn0037135
Q9V3D2,FBgn0021944
P15348,FBgn0284220
Q9VAJ9,FBgn0039674
P20477,FBgn0001142
A8JQT1,FBgn0085386
Q95083,FBgn0016697
Q9VZ07,FBgn0028421
Q9V3E5,FBgn0035936
Q0E8F5,FBgn0036211
A1Z6Z4,FBgn0010548
Q9VHH2,FBgn0260935
Q7K485,FBgn0029093
Q9VL18,FBgn0032198
P15357,FBgn0003942
P48149,FBgn0010198
Q9Y109,FBgn0027549
Q7KT33,FBgn0032820
O01666,FBgn0020235
Q7KS16,FBgn0266758
Q9VG04,FBgn0038110
P81900,FBgn0022382
Q9VSS2,FBgn0035947
B7Z0W9,FBgn0259150
P46222,FBgn0013325
Q8SYJ2,FBgn0052230
Q9V5N8,FBgn0024836
Q9VAT0,FBgn0024273
Q9VTN9,FBgn0036208
O77285,FBgn0025725
O96299,FBgn0022359
Q9VI53,FBgn0037465
P49846,FBgn0010356
P06605,FBgn0003885
Q9V3Z4,FBgn0028690
A1ZB14,FBgn0011589
Q9VTP4,FBgn0036213
Q8IMQ8,FBgn0039464
Q8MSW6,FBgn0025457
Q9VI56,FBgn0037468
Q9VW59,FBgn0036921
Q7JXA2,FBgn0267824
Q9W415,FBgn0029857
A8DYI2,FBgn0284257
Q9VFQ9,FBgn0000454
Q9VAX8,FBgn0039566
Q9VCW6,FBgn0046114
Q9VLT5,FBgn0011230
P31009,FBgn0004867
Q9V496,FBgn0087002
P46415,FBgn0011768
Q9VFI9,FBgn0038237
Q9W1X3,FBgn0261564
Q9VFC8,FBgn0266064
Q24478,FBgn0000283
Q9VP06,FBgn0037108
A1Z992,FBgn0053138
Q9VTX8,FBgn0036286
P92177,FBgn0020238
Q24048,FBgn0015777
B7YZF5,FBgn0259221
Q8WSN4,FBgn0000239
P41093,FBgn0010409
Q9VFE7,FBgn0038274
Q9W4P5,FBgn0285910
Q9VGJ7,FBgn0037935
O77434,FBgn0260855
Q1LZ08,FBgn0033607
Q9W2J4,FBgn0027073
Q9VJZ4,FBgn0032511
Q9VYY4,FBgn0030304
Q29QE1,FBgn0025836
Q9VG31,FBgn0002719
Q9V3A8,FBgn0035909
A1Z7C4,FBgn0053087
Q9VH77,FBgn0286506
A8JNH9,FBgn0264574
P20228,FBgn0004516
P61851,FBgn0003462
Q9VBI2,FBgn0028833
A1Z9N0,FBgn0261276
Q9VXB0,FBgn0030791
P18091,FBgn0000667
Q9VLN6,FBgn0032026
A1Z9K4,FBgn0020620
A8JQT5,FBgn0265082
Q9VMP9,FBgn0031717
P25823,FBgn0003891
P41073,FBgn0004401
Q9VGH9,FBgn0025802
P13060,FBgn0000559
Q9W555,FBgn0028969
P40417,FBgn0003256
Q9VVH5,FBgn0036728
Q07152,FBgn0003204
B7Z145,FBgn0267001
Q9Y0Y6,FBgn0027497
Q9VUL8,FBgn0036484
Q9VMH2,FBgn0284255
Q9VUQ9,FBgn0267390
Q9VEX6,FBgn0287225
Q9VTU4,FBgn0036258
Q9V4C8,FBgn0039904
A8JRE3,FBgn0010328
Q9V9N7,FBgn0261802
Q9W483,FBgn0029799
Q9VNE9,FBgn0037351
P40301,FBgn0086134
Q8I7C3,FBgn0063485
Q95RN0,FBgn0038013
A8DY81,FBgn0085436
Q24297,FBgn0000426
Q9VWF0,FBgn0031048
